"filename", "language", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "MS SQL", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"d:\CS\syncUp-clean\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\CS\syncUp-clean\backend\package-lock.json", "JSON", 4225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4226
"d:\CS\syncUp-clean\backend\package.json", "JSON", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"d:\CS\syncUp-clean\backend\src\app.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"d:\CS\syncUp-clean\backend\src\config\DB_connect.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 2, 13
"d:\CS\syncUp-clean\backend\src\config\s3.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\CS\syncUp-clean\backend\src\config\schema.sql", "MS SQL", 0, 0, 0, 0, 0, 87, 0, 0, 0, 10, 10, 107
"d:\CS\syncUp-clean\backend\src\controllers\auth.controller.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 17, 109
"d:\CS\syncUp-clean\backend\src\controllers\document.controller.ts", "TypeScript", 0, 0, 130, 0, 0, 0, 0, 0, 0, 10, 25, 165
"d:\CS\syncUp-clean\backend\src\controllers\file.controller.ts", "TypeScript", 0, 0, 169, 0, 0, 0, 0, 0, 0, 12, 58, 239
"d:\CS\syncUp-clean\backend\src\controllers\projects.controller.ts", "TypeScript", 0, 0, 173, 0, 0, 0, 0, 0, 0, 11, 33, 217
"d:\CS\syncUp-clean\backend\src\controllers\tasks.controller.ts", "TypeScript", 0, 0, 231, 0, 0, 0, 0, 0, 0, 18, 45, 294
"d:\CS\syncUp-clean\backend\src\controllers\utility.controller.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 5, 42
"d:\CS\syncUp-clean\backend\src\controllers\workspace.controller.ts", "TypeScript", 0, 0, 200, 0, 0, 0, 0, 0, 0, 11, 39, 250
"d:\CS\syncUp-clean\backend\src\controllers\workspaceInvite.controller.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 3, 21, 129
"d:\CS\syncUp-clean\backend\src\controllers\workspaceMember.controller.ts", "TypeScript", 0, 0, 273, 0, 0, 0, 0, 0, 0, 8, 44, 325
"d:\CS\syncUp-clean\backend\src\middlewares\requireAuth.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\CS\syncUp-clean\backend\src\middlewares\upload.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\CS\syncUp-clean\backend\src\routes\auth.routes.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\CS\syncUp-clean\backend\src\routes\document.routes.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\CS\syncUp-clean\backend\src\routes\fileroutes.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\CS\syncUp-clean\backend\src\routes\project.routes.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\CS\syncUp-clean\backend\src\routes\tasks.routes.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\CS\syncUp-clean\backend\src\routes\utility.routes.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\CS\syncUp-clean\backend\src\routes\workspace.routes.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\CS\syncUp-clean\backend\src\routes\workspaceInvite.routes.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\CS\syncUp-clean\backend\src\routes\workspaceMember.routes.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\CS\syncUp-clean\backend\src\server.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"d:\CS\syncUp-clean\backend\src\socket\emitter.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 2, 14, 96
"d:\CS\syncUp-clean\backend\src\socket\index.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 10, 84
"d:\CS\syncUp-clean\backend\src\types\express.d.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\CS\syncUp-clean\backend\src\utils\fileStorage.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 6, 8, 55
"d:\CS\syncUp-clean\backend\src\utils\hash.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\CS\syncUp-clean\backend\src\utils\jwt.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"d:\CS\syncUp-clean\backend\tsconfig.json", "JSON with Comments", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\CS\syncUp-clean\frontend\client\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 14, 37
"d:\CS\syncUp-clean\frontend\client\components.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\CS\syncUp-clean\frontend\client\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 3, 19
"d:\CS\syncUp-clean\frontend\client\next.config.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
"d:\CS\syncUp-clean\frontend\client\package-lock.json", "JSON", 12437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12438
"d:\CS\syncUp-clean\frontend\client\package.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"d:\CS\syncUp-clean\frontend\client\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"d:\CS\syncUp-clean\frontend\client\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\CS\syncUp-clean\frontend\client\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\CS\syncUp-clean\frontend\client\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\CS\syncUp-clean\frontend\client\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\CS\syncUp-clean\frontend\client\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\CS\syncUp-clean\frontend\client\src\app\(auth)\layout.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"d:\CS\syncUp-clean\frontend\client\src\app\(auth)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 132, 0, 0, 0, 0, 0, 3, 13, 148
